variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
snowdensmin,0,Fresh snow density [kg |m^-3|],`SnowDensMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowdensmin>`_,Scalar
ohm_threshwd,"(8,)",Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-],`OHMThresh_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ohmthresh-wd>`_,8: Seven SUEWS land cover types and one extra land cover type (currently NOT used)
faibldg,0,Frontal area index for buildings [-],`FAI_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-bldgs>`_,Scalar
tl,0,Lower air temperature limit [°C],`TL <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tl>`_,Scalar
pormax_dec,0,full leaf-on summertime value Used only for `DecTr` (can affect roughness calculation),`PorosityMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-porositymax>`_,Scalar
g5,0,Related to temperature dependence [°C],`G5 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g5>`_,Scalar
ohm_threshsw,"(8,)",Temperature threshold determining whether summer/winter OHM coefficients are applied [°C],`OHMThresh_SW <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ohmthresh-sw>`_,8: Seven SUEWS land cover types and one extra land cover type (currently NOT used)
timezone,0,Time zone [h] for site relative to UTC (east is positive). This should be set according to the times given in the meteorological forcing file(s).,`Timezone <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-timezone>`_,Scalar
bldgh,0,Mean building height [m],`H_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-h-bldgs>`_,Scalar
rainmaxres,0,Maximum water bucket reservoir [mm] Used for LUMPS surface wetness control.,`LUMPS_MaxRes <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-maxres>`_,Scalar
albmin_grass,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
